seconds foF2(in) foF2(out) hmF2(in) hmF2(out)
2874000 2.900 2.900 280.300 305.100
2874300 3.000 3.000 323.300 300.600
2882100 3.200 3.200 300.600 303.900
2882400 3.300 3.300 303.900 303.900
2882700 3.400 3.300 324.900 303.900
2883000 3.300 3.400 296.500 297.100
2883300 3.400 3.400 297.100 297.100
2883600 3.600 3.400 313.100 297.100
2883900 3.400 3.500 294.600 296.400
2884200 3.500 3.400 296.400 294.600
2884500 3.400 3.400 288.200 288.200
2884800 3.400 3.400 281.000 287.100
2885100 3.500 3.400 287.100 284.700
2885400 3.400 3.400 284.700 287.100
2885700 3.300 3.300 289.600 287.600
2886000 3.300 3.300 287.600 287.600
2886300 3.300 3.300 285.900 287.600
2886600 3.400 3.400 293.600 285.900
2886900 3.500 3.500 268.400 280.200
2887200 3.500 3.500 280.200 272.500
2887500 3.500 3.500 272.500 272.500
2887800 3.700 3.600 272.200 272.200
2888100 3.600 3.600 267.700 267.700
2888400 3.600 3.600 257.700 257.700
2888700 3.700 3.700 254.300 254.300
2889000 3.700 3.700 247.900 247.900
2889300 3.800 3.800 246.100 246.100
2889600 4.000 4.000 245.300 245.300
2889900 4.000 4.000 235.000 235.000
2890200 3.900 3.900 227.700 227.700
2890500 3.900 3.900 221.500 221.500
2890800 3.900 3.900 215.600 221.500
2891100 4.000 3.900 228.100 221.600
2891400 3.900 3.900 221.600 221.600
2891700 3.600 3.600 214.700 215.500
2892000 3.600 3.600 215.500 215.500
2892300 3.500 3.600 238.500 220.500
2900400 4.150 4.150 220.500 220.500
2900700 4.250 4.250 208.800 220.200
2901000 4.406 4.350 220.200 208.800
2901300 4.350 4.406 203.800 218.700
2901600 4.450 4.450 218.700 215.900
2901900 4.500 4.500 215.900 215.900
2902200 4.550 4.550 205.800 214.000
2902500 4.650 4.650 214.000 214.000
2902800 4.650 4.650 217.900 214.000
2903100 4.950 4.950 206.300 208.800
2903400 4.950 4.950 208.800 206.300
2903700 4.950 4.950 200.300 206.300
2904000 4.950 4.950 206.300 202.300
2904300 4.900 4.950 202.300 206.300
2904600 5.150 5.150 214.800 202.300
2904900 5.150 5.150 195.400 195.400
2905200 5.150 5.150 191.400 195.400
2905500 4.950 4.950 236.300 236.300
2905800 4.900 4.950 251.400 236.300
2906100 4.950 4.950 214.700 214.700
2906400 4.950 4.950 195.000 195.000
2906700 5.125 4.950 189.000 189.900
2907000 4.950 4.950 189.900 189.900
2907300 4.950 4.950 207.500 207.500
2907600 4.750 4.750 208.700 207.500
2907900 4.700 4.750 205.200 208.700
2908200 4.975 4.950 241.800 241.800
2908500 4.950 4.950 254.900 241.800
2908800 4.750 4.875 194.100 254.900
2909100 4.875 4.875 269.200 220.200
2909400 4.950 4.950 220.200 220.200
2909700 5.150 5.150 209.600 219.600
2910000 5.250 5.250 219.600 219.600
2910300 5.350 5.350 229.500 229.500
2918100 5.650 5.650 230.700 229.500
2918400 5.650 5.650 208.600 230.700
2918700 5.850 5.650 269.300 212.000
2919000 5.550 5.550 212.000 213.700
2919300 5.525 5.525 213.700 213.700
2919600 5.525 5.525 214.700 213.700
2919900 5.525 5.525 207.800 214.700
2920200 5.350 5.350 225.000 225.000
2920500 5.350 5.350 253.200 250.000
2920800 5.600 5.350 250.000 253.200
2921100 5.350 5.550 254.700 254.300
2921400 5.550 5.550 254.300 254.700
2921700 5.750 5.750 269.600 254.300
2922000 5.850 5.850 235.700 235.700
2922300 6.050 6.050 231.200 233.200
2922600 6.150 6.150 233.200 232.700
2922900 6.350 6.350 232.700 232.700
2923200 6.350 6.350 224.900 232.700
2923500 6.563 6.563 243.100 228.800
2923800 6.750 6.700 228.800 228.800
2924100 6.700 6.700 214.900 214.900
2924400 6.550 6.700 205.300 214.900
2924700 6.700 6.550 221.000 221.000
2925000 6.350 6.350 221.000 221.000
2925300 5.850 5.850 213.300 214.900
2925600 5.650 5.850 214.900 214.900
2925900 6.850 5.650 233.100 233.100
2926200 5.550 5.850 237.000 237.000
2926500 5.850 5.650 259.100 237.000
2926800 5.650 5.750 217.900 222.500
2927100 5.750 5.650 222.500 222.500
2927400 5.650 5.750 223.600 223.600
2927700 5.750 5.750 237.600 223.600
2928000 5.825 5.825 215.400 216.400
2928300 5.850 5.825 216.400 216.400
2936100 5.150 5.150 227.100 218.000
2936400 5.150 5.150 218.000 218.000
2936700 5.200 5.200 215.600 218.000
2937000 5.201 5.201 227.700 227.700
